,Year,Season,Fleet,Catch,SE
1,2007,1,1,0.0915,0.01
2,2008,1,1,0.072,0.01
3,2009,1,1,0.131290076,0.01
4,2010,1,1,0.105315789,0.01
5,2011,1,1,0.146546816,0.01
6,2012,1,1,0.093,0.01
7,2013,1,1,0.174,0.01
8,2014,1,1,0.175,0.01
9,2015,1,1,0.176,0.01
10,2016,1,1,0.166166078,0.01
11,2017,1,1,0.175,0.01
12,2018,1,1,0.175,0.01
13,2019,1,1,0.157,0.01
14,2020,1,1,0.088,0.01
15,2007,1,2,0.0915,0.01
16,2008,1,2,0.044,0.01
17,2009,1,2,0.141709924,0.01
18,2010,1,2,0.068684211,0.01
19,2011,1,2,0.121453184,0.01
20,2012,1,2,0.101,0.01
21,2013,1,2,0.173,0.01
22,2014,1,2,0.169,0.01
23,2015,1,2,0.169,0.01
24,2016,1,2,0.118833922,0.01
25,2017,1,2,0.164,0.01
26,2018,1,2,0.175,0.01
27,2019,1,2,0.175,0.01
28,2020,1,2,0.102,0.01
29,1880,1,3,150.3095,0.01
30,1881,1,3,113.124,0.01
31,1882,1,3,70.939,0.01
32,1883,1,3,31.2565,0.01
33,1884,1,3,16.0105,0.01
34,1885,1,3,6.545,0.01
35,1886,1,3,4.059,0.01
36,1897,1,3,6.237,0.01
37,1898,1,3,4.9885,0.01
38,1899,1,3,2.992,0.01
39,1900,1,3,2.497,0.01
40,1901,1,3,0.5005,0.01
41,1902,1,3,0.2475,0.01
42,1903,1,3,1.496,0.01
43,1904,1,3,1.496,0.01
44,1905,1,3,2.409,0.01
45,1906,1,3,2.695,0.01
46,1907,1,3,2.3705,0.01
47,1908,1,3,1.22485,0.01
48,1909,1,3,3.069,0.01
49,1910,1,3,4.114,0.01
50,1911,1,3,1.199,0.01
51,1912,1,3,2.2935,0.01
52,1913,1,3,1.749,0.01
53,1914,1,3,2.695,0.01
54,1915,1,3,2.1725,0.01
55,1916,1,3,1.3475,0.01
56,1917,1,3,0.7755,0.01
57,1918,1,3,1.1495,0.01
58,1919,1,3,1.749,0.01
59,1920,1,3,1.9965,0.01
60,1921,1,3,2.4695,0.01
61,1922,1,3,2.7665,0.01
62,1923,1,3,2.497,0.01
63,1924,1,3,1.6445,0.01
64,1925,1,3,1.0505,0.01
65,1926,1,3,1.4245,0.01
66,1927,1,3,0.5995,0.01
67,1928,1,3,1.672,0.01
68,1929,1,3,0.726,0.01
69,1930,1,3,0.374,0.01
70,1931,1,3,0.1265,0.01
71,1934,1,3,1.496,0.01
72,1935,1,3,1.9965,0.01
73,1936,1,3,1.6225,0.01
74,1937,1,3,1.2705,0.01
75,1938,1,3,0.8965,0.01
76,1939,1,3,0.671,0.01
77,1940,1,3,0.297,0.01
78,1941,1,3,0.297,0.01
79,1942,1,3,0.451,0.01
80,1943,1,3,0.451,0.01
81,1944,1,3,0.4015,0.01
82,1945,1,3,0.8745,0.01
83,1946,1,3,1.5455,0.01
84,1947,1,3,0.9955,0.01
85,1948,1,3,0.748,0.01
86,1949,1,3,0.9955,0.01
87,1950,1,3,0.9955,0.01
88,1951,1,3,0.748,0.01
89,1952,1,3,0.9955,0.01
90,1953,1,3,1.749,0.01
91,1954,1,3,1.9965,0.01
92,1955,1,3,2.244,0.01
93,1956,1,3,1.2485,0.01
94,1957,1,3,1.496,0.01
95,1958,1,3,3.245,0.01
96,1959,1,3,1.9965,0.01
97,1960,1,3,2.7445,0.01
98,1961,1,3,0.9955,0.01
99,1962,1,3,0.9955,0.01
100,1963,1,3,0.9955,0.01
101,1964,1,3,0.748,0.01
102,1965,1,3,1.2485,0.01
103,1966,1,3,1.496,0.01
104,1967,1,3,0.9955,0.01
105,1968,1,3,0.748,0.01
106,1969,1,3,4.488,0.01
107,1970,1,3,2.7445,0.01
108,1971,1,3,1.9965,0.01
109,1972,1,3,3.993,0.01
110,1973,1,3,2.244,0.01
111,1974,1,3,1.496,0.01
112,1975,1,3,1.749,0.01
113,1976,1,3,4.939,0.01
114,1977,1,3,0.5995,0.01
115,1978,1,3,3.9545,0.01
116,1979,1,3,8.0135,0.01
117,1980,1,3,12.683,0.01
118,1981,1,3,6.1545,0.01
119,1982,1,3,6.138,0.01
120,1983,1,3,7.634,0.01
121,1984,1,3,9.328,0.01
122,1985,1,3,8.811,0.01
123,1986,1,3,7.7495,0.01
124,1987,1,3,3.894,0.01
125,1988,1,3,22.517,0.01
126,1989,1,3,22.253,0.01
127,1990,1,3,9.02,0.01
128,1991,1,3,5.203,0.01
129,1992,1,3,5.291,0.01
130,1993,1,3,2.7115,0.01
131,1994,1,3,5.6155,0.01
132,1995,1,3,5.8135,0.01
133,1996,1,3,7.5735,0.01
134,1997,1,3,6.1985,0.01
135,1998,1,3,3.388,0.01
136,1999,1,3,1.7765,0.01
137,2000,1,3,1.386,0.01
138,2001,1,3,5.687,0.01
139,2002,1,3,2.7885,0.01
140,2003,1,3,0.0715,0.01
141,2004,1,3,0.1045,0.01
142,1880,1,4,122.9805,0.01
143,1881,1,4,92.556,0.01
144,1882,1,4,58.041,0.01
145,1883,1,4,25.5735,0.01
146,1884,1,4,13.0995,0.01
147,1885,1,4,5.355,0.01
148,1886,1,4,3.321,0.01
149,1897,1,4,5.103,0.01
150,1898,1,4,4.0815,0.01
151,1899,1,4,2.448,0.01
152,1900,1,4,2.043,0.01
153,1901,1,4,0.4095,0.01
154,1902,1,4,0.2025,0.01
155,1903,1,4,1.224,0.01
156,1904,1,4,1.224,0.01
157,1905,1,4,1.971,0.01
158,1906,1,4,2.205,0.01
159,1907,1,4,1.9395,0.01
160,1908,1,4,1.00215,0.01
161,1909,1,4,2.511,0.01
162,1910,1,4,3.366,0.01
163,1911,1,4,0.981,0.01
164,1912,1,4,1.8765,0.01
165,1913,1,4,1.431,0.01
166,1914,1,4,2.205,0.01
167,1915,1,4,1.7775,0.01
168,1916,1,4,1.1025,0.01
169,1917,1,4,0.6345,0.01
170,1918,1,4,0.9405,0.01
171,1919,1,4,1.431,0.01
172,1920,1,4,1.6335,0.01
173,1921,1,4,2.0205,0.01
174,1922,1,4,2.2635,0.01
175,1923,1,4,2.043,0.01
176,1924,1,4,1.3455,0.01
177,1925,1,4,0.8595,0.01
178,1926,1,4,1.1655,0.01
179,1927,1,4,0.4905,0.01
180,1928,1,4,1.368,0.01
181,1929,1,4,0.594,0.01
182,1930,1,4,0.306,0.01
183,1931,1,4,0.1035,0.01
184,1934,1,4,1.224,0.01
185,1935,1,4,1.6335,0.01
186,1936,1,4,1.3275,0.01
187,1937,1,4,1.0395,0.01
188,1938,1,4,0.7335,0.01
189,1939,1,4,0.549,0.01
190,1940,1,4,0.243,0.01
191,1941,1,4,0.243,0.01
192,1942,1,4,0.369,0.01
193,1943,1,4,0.369,0.01
194,1944,1,4,0.3285,0.01
195,1945,1,4,0.7155,0.01
196,1946,1,4,1.2645,0.01
197,1947,1,4,0.8145,0.01
198,1948,1,4,0.612,0.01
199,1949,1,4,0.8145,0.01
200,1950,1,4,0.8145,0.01
201,1951,1,4,0.612,0.01
202,1952,1,4,0.8145,0.01
203,1953,1,4,1.431,0.01
204,1954,1,4,1.6335,0.01
205,1955,1,4,1.836,0.01
206,1956,1,4,1.0215,0.01
207,1957,1,4,1.224,0.01
208,1958,1,4,2.655,0.01
209,1959,1,4,1.6335,0.01
210,1960,1,4,2.2455,0.01
211,1961,1,4,0.8145,0.01
212,1962,1,4,0.8145,0.01
213,1963,1,4,0.8145,0.01
214,1964,1,4,0.612,0.01
215,1965,1,4,1.0215,0.01
216,1966,1,4,1.224,0.01
217,1967,1,4,0.8145,0.01
218,1968,1,4,0.612,0.01
219,1969,1,4,3.672,0.01
220,1970,1,4,2.2455,0.01
221,1971,1,4,1.6335,0.01
222,1972,1,4,3.267,0.01
223,1973,1,4,1.836,0.01
224,1974,1,4,1.224,0.01
225,1975,1,4,1.431,0.01
226,1976,1,4,4.041,0.01
227,1977,1,4,0.4905,0.01
228,1978,1,4,3.2355,0.01
229,1979,1,4,6.5565,0.01
230,1980,1,4,10.377,0.01
231,1981,1,4,5.0355,0.01
232,1982,1,4,5.022,0.01
233,1983,1,4,6.246,0.01
234,1984,1,4,7.632,0.01
235,1985,1,4,7.209,0.01
236,1986,1,4,6.3405,0.01
237,1987,1,4,3.186,0.01
238,1988,1,4,18.423,0.01
239,1989,1,4,18.207,0.01
240,1990,1,4,7.38,0.01
241,1991,1,4,4.257,0.01
242,1992,1,4,4.329,0.01
243,1993,1,4,2.2185,0.01
244,1994,1,4,4.5945,0.01
245,1995,1,4,4.7565,0.01
246,1996,1,4,6.1965,0.01
247,1997,1,4,5.0715,0.01
248,1998,1,4,2.772,0.01
249,1999,1,4,1.4535,0.01
250,2000,1,4,1.134,0.01
251,2001,1,4,4.653,0.01
252,2002,1,4,2.2815,0.01
253,2003,1,4,0.0585,0.01
254,2004,1,4,0.0855,0.01
255,1910,1,5,2.04,0.01
256,1911,1,5,1.14,0.01
257,1912,1,5,2.63,0.01
258,1913,1,5,6.3,0.01
259,1914,1,5,3.9,0.01
260,1915,1,5,0.5,0.01
261,1916,1,5,0.91,0.01
262,1917,1,5,0.68,0.01
263,1918,1,5,0.91,0.01
264,1919,1,5,0.91,0.01
265,1920,1,5,0.27,0.01
266,1921,1,5,1.27,0.01
267,1922,1,5,0.14,0.01
268,1923,1,5,0.23,0.01
269,1924,1,5,0.14,0.01
270,1925,1,5,0.68,0.01
271,1926,1,5,0.18,0.01
272,1927,1,5,0.23,0.01
273,1930,1,5,10.21,0.01
274,1931,1,5,0.95,0.01
275,1932,1,5,0.68,0.01
276,1942,1,5,0.59,0.01
277,1944,1,5,1.5,0.01
278,1945,1,5,0.77,0.01
279,1946,1,5,1.36,0.01
280,1947,1,5,0.45,0.01
281,1948,1,5,1.36,0.01
282,1949,1,5,0.91,0.01
283,1951,1,5,0.45,0.01
284,1952,1,5,0.91,0.01
285,1953,1,5,0.9,0.01
286,1954,1,5,1.81,0.01
287,1955,1,5,0.9,0.01
288,1956,1,5,0.45,0.01
289,1957,1,5,3.18,0.01
290,1958,1,5,3.18,0.01
291,1959,1,5,1.81,0.01
292,1960,1,5,2.27,0.01
293,1961,1,5,3.18,0.01
294,1962,1,5,0.91,0.01
295,1963,1,5,0.45,0.01
296,1964,1,5,0.91,0.01
297,1965,1,5,2.27,0.01
298,1968,1,5,4.08,0.01
299,1970,1,5,0.91,0.01
300,1972,1,5,0.45,0.01
301,1973,1,5,0.91,0.01
302,1974,1,5,1.81,0.01
303,1975,1,5,1.36,0.01
304,1976,1,5,1.34,0.01
305,1977,1,5,0.28,0.01
306,1978,1,5,0.71,0.01
307,1979,1,5,4.75,0.01
308,1980,1,5,6.6,0.01
309,1981,1,5,8.59,0.01
310,1982,1,5,2.56,0.01
311,1983,1,5,2.2,0.01
312,1984,1,5,2.85,0.01
313,1985,1,5,18,0.01
314,1986,1,5,6.5,0.01
315,1987,1,5,8.94,0.01
316,1988,1,5,12.53,0.01
317,1989,1,5,8.31,0.01
318,1990,1,5,3.97,0.01
319,1991,1,5,8.68,0.01
320,1992,1,5,5.86,0.01
321,1993,1,5,8.95,0.01
322,1994,1,5,6.1,0.01
323,1995,1,5,1.93,0.01
324,1996,1,5,0.55,0.01
325,1997,1,5,0.2,0.01
326,1998,1,5,4.19,0.01
