"","Year","Season","Fleet","Catch","SE"
"1",2007,1,1,0.0915,0.01
"2",2008,1,1,0.072,0.01
"3",2009,1,1,0.131290076335878,0.01
"4",2010,1,1,0.105315789473684,0.01
"5",2011,1,1,0.146546816479401,0.01
"6",2012,1,1,0.093,0.01
"7",2013,1,1,0.174,0.01
"8",2014,1,1,0.175,0.01
"9",2015,1,1,0.176,0.01
"10",2016,1,1,0.166166077738516,0.01
"11",2017,1,1,0.175,0.01
"12",2018,1,1,0.175,0.01
"13",2019,1,1,0.157,0.01
"14",2020,1,1,0.088,0.01
"15",2007,1,2,0.0915,0.01
"16",2008,1,2,0.044,0.01
"17",2009,1,2,0.141709923664122,0.01
"18",2010,1,2,0.0686842105263158,0.01
"19",2011,1,2,0.121453183520599,0.01
"20",2012,1,2,0.101,0.01
"21",2013,1,2,0.173,0.01
"22",2014,1,2,0.169,0.01
"23",2015,1,2,0.169,0.01
"24",2016,1,2,0.118833922261484,0.01
"25",2017,1,2,0.164,0.01
"26",2018,1,2,0.175,0.01
"27",2019,1,2,0.175,0.01
"28",2020,1,2,0.102,0.01
"29",1880,1,3,163.974,0.01
"30",1881,1,3,123.408,0.01
"31",1882,1,3,77.388,0.01
"32",1883,1,3,34.098,0.01
"33",1884,1,3,17.466,0.01
"34",1885,1,3,7.14,0.01
"35",1886,1,3,4.428,0.01
"36",1897,1,3,6.804,0.01
"37",1898,1,3,5.442,0.01
"38",1899,1,3,3.264,0.01
"39",1900,1,3,2.724,0.01
"40",1901,1,3,0.546,0.01
"41",1902,1,3,0.27,0.01
"42",1903,1,3,1.632,0.01
"43",1904,1,3,1.632,0.01
"44",1905,1,3,2.628,0.01
"45",1906,1,3,2.94,0.01
"46",1907,1,3,2.586,0.01
"47",1908,1,3,1.3362,0.01
"48",1909,1,3,3.348,0.01
"49",1910,1,3,4.488,0.01
"50",1911,1,3,1.308,0.01
"51",1912,1,3,2.502,0.01
"52",1913,1,3,1.908,0.01
"53",1914,1,3,2.94,0.01
"54",1915,1,3,2.37,0.01
"55",1916,1,3,1.47,0.01
"56",1917,1,3,0.846,0.01
"57",1918,1,3,1.254,0.01
"58",1919,1,3,1.908,0.01
"59",1920,1,3,2.178,0.01
"60",1921,1,3,2.694,0.01
"61",1922,1,3,3.018,0.01
"62",1923,1,3,2.724,0.01
"63",1924,1,3,1.794,0.01
"64",1925,1,3,1.146,0.01
"65",1926,1,3,1.554,0.01
"66",1927,1,3,0.654,0.01
"67",1928,1,3,1.824,0.01
"68",1929,1,3,0.792,0.01
"69",1930,1,3,0.408,0.01
"70",1931,1,3,0.138,0.01
"71",1934,1,3,1.632,0.01
"72",1935,1,3,2.178,0.01
"73",1936,1,3,1.77,0.01
"74",1937,1,3,1.386,0.01
"75",1938,1,3,0.978,0.01
"76",1939,1,3,0.732,0.01
"77",1940,1,3,0.324,0.01
"78",1941,1,3,0.324,0.01
"79",1942,1,3,0.492,0.01
"80",1943,1,3,0.492,0.01
"81",1944,1,3,0.438,0.01
"82",1945,1,3,0.954,0.01
"83",1946,1,3,1.686,0.01
"84",1947,1,3,1.086,0.01
"85",1948,1,3,0.816,0.01
"86",1949,1,3,1.086,0.01
"87",1950,1,3,1.086,0.01
"88",1951,1,3,0.816,0.01
"89",1952,1,3,1.086,0.01
"90",1953,1,3,1.908,0.01
"91",1954,1,3,2.178,0.01
"92",1955,1,3,2.448,0.01
"93",1956,1,3,1.362,0.01
"94",1957,1,3,1.632,0.01
"95",1958,1,3,3.54,0.01
"96",1959,1,3,2.178,0.01
"97",1960,1,3,2.994,0.01
"98",1961,1,3,1.086,0.01
"99",1962,1,3,1.086,0.01
"100",1963,1,3,1.086,0.01
"101",1964,1,3,0.816,0.01
"102",1965,1,3,1.362,0.01
"103",1966,1,3,1.632,0.01
"104",1967,1,3,1.086,0.01
"105",1968,1,3,0.816,0.01
"106",1969,1,3,4.896,0.01
"107",1970,1,3,2.994,0.01
"108",1971,1,3,2.178,0.01
"109",1972,1,3,4.356,0.01
"110",1973,1,3,2.448,0.01
"111",1974,1,3,1.632,0.01
"112",1975,1,3,1.908,0.01
"113",1976,1,3,5.388,0.01
"114",1977,1,3,0.654,0.01
"115",1978,1,3,4.314,0.01
"116",1979,1,3,8.742,0.01
"117",1980,1,3,13.836,0.01
"118",1981,1,3,6.714,0.01
"119",1982,1,3,6.696,0.01
"120",1983,1,3,8.328,0.01
"121",1984,1,3,10.176,0.01
"122",1985,1,3,9.612,0.01
"123",1986,1,3,8.454,0.01
"124",1987,1,3,4.248,0.01
"125",1988,1,3,24.564,0.01
"126",1989,1,3,24.276,0.01
"127",1990,1,3,9.84,0.01
"128",1991,1,3,5.676,0.01
"129",1992,1,3,5.772,0.01
"130",1993,1,3,2.958,0.01
"131",1994,1,3,6.126,0.01
"132",1995,1,3,6.342,0.01
"133",1996,1,3,8.262,0.01
"134",1997,1,3,6.762,0.01
"135",1998,1,3,3.696,0.01
"136",1999,1,3,1.938,0.01
"137",2000,1,3,1.512,0.01
"138",2001,1,3,6.204,0.01
"139",2002,1,3,3.042,0.01
"140",2003,1,3,0.078,0.01
"141",2004,1,3,0.114,0.01
"142",1880,1,4,109.316,0.01
"143",1881,1,4,82.272,0.01
"144",1882,1,4,51.592,0.01
"145",1883,1,4,22.732,0.01
"146",1884,1,4,11.644,0.01
"147",1885,1,4,4.76,0.01
"148",1886,1,4,2.952,0.01
"149",1897,1,4,4.536,0.01
"150",1898,1,4,3.628,0.01
"151",1899,1,4,2.176,0.01
"152",1900,1,4,1.816,0.01
"153",1901,1,4,0.364,0.01
"154",1902,1,4,0.18,0.01
"155",1903,1,4,1.088,0.01
"156",1904,1,4,1.088,0.01
"157",1905,1,4,1.752,0.01
"158",1906,1,4,1.96,0.01
"159",1907,1,4,1.724,0.01
"160",1908,1,4,0.8908,0.01
"161",1909,1,4,2.232,0.01
"162",1910,1,4,2.992,0.01
"163",1911,1,4,0.872,0.01
"164",1912,1,4,1.668,0.01
"165",1913,1,4,1.272,0.01
"166",1914,1,4,1.96,0.01
"167",1915,1,4,1.58,0.01
"168",1916,1,4,0.98,0.01
"169",1917,1,4,0.564,0.01
"170",1918,1,4,0.836,0.01
"171",1919,1,4,1.272,0.01
"172",1920,1,4,1.452,0.01
"173",1921,1,4,1.796,0.01
"174",1922,1,4,2.012,0.01
"175",1923,1,4,1.816,0.01
"176",1924,1,4,1.196,0.01
"177",1925,1,4,0.764,0.01
"178",1926,1,4,1.036,0.01
"179",1927,1,4,0.436,0.01
"180",1928,1,4,1.216,0.01
"181",1929,1,4,0.528,0.01
"182",1930,1,4,0.272,0.01
"183",1931,1,4,0.092,0.01
"184",1934,1,4,1.088,0.01
"185",1935,1,4,1.452,0.01
"186",1936,1,4,1.18,0.01
"187",1937,1,4,0.924,0.01
"188",1938,1,4,0.652,0.01
"189",1939,1,4,0.488,0.01
"190",1940,1,4,0.216,0.01
"191",1941,1,4,0.216,0.01
"192",1942,1,4,0.328,0.01
"193",1943,1,4,0.328,0.01
"194",1944,1,4,0.292,0.01
"195",1945,1,4,0.636,0.01
"196",1946,1,4,1.124,0.01
"197",1947,1,4,0.724,0.01
"198",1948,1,4,0.544,0.01
"199",1949,1,4,0.724,0.01
"200",1950,1,4,0.724,0.01
"201",1951,1,4,0.544,0.01
"202",1952,1,4,0.724,0.01
"203",1953,1,4,1.272,0.01
"204",1954,1,4,1.452,0.01
"205",1955,1,4,1.632,0.01
"206",1956,1,4,0.908,0.01
"207",1957,1,4,1.088,0.01
"208",1958,1,4,2.36,0.01
"209",1959,1,4,1.452,0.01
"210",1960,1,4,1.996,0.01
"211",1961,1,4,0.724,0.01
"212",1962,1,4,0.724,0.01
"213",1963,1,4,0.724,0.01
"214",1964,1,4,0.544,0.01
"215",1965,1,4,0.908,0.01
"216",1966,1,4,1.088,0.01
"217",1967,1,4,0.724,0.01
"218",1968,1,4,0.544,0.01
"219",1969,1,4,3.264,0.01
"220",1970,1,4,1.996,0.01
"221",1971,1,4,1.452,0.01
"222",1972,1,4,2.904,0.01
"223",1973,1,4,1.632,0.01
"224",1974,1,4,1.088,0.01
"225",1975,1,4,1.272,0.01
"226",1976,1,4,3.592,0.01
"227",1977,1,4,0.436,0.01
"228",1978,1,4,2.876,0.01
"229",1979,1,4,5.828,0.01
"230",1980,1,4,9.224,0.01
"231",1981,1,4,4.476,0.01
"232",1982,1,4,4.464,0.01
"233",1983,1,4,5.552,0.01
"234",1984,1,4,6.784,0.01
"235",1985,1,4,6.408,0.01
"236",1986,1,4,5.636,0.01
"237",1987,1,4,2.832,0.01
"238",1988,1,4,16.376,0.01
"239",1989,1,4,16.184,0.01
"240",1990,1,4,6.56,0.01
"241",1991,1,4,3.784,0.01
"242",1992,1,4,3.848,0.01
"243",1993,1,4,1.972,0.01
"244",1994,1,4,4.084,0.01
"245",1995,1,4,4.228,0.01
"246",1996,1,4,5.508,0.01
"247",1997,1,4,4.508,0.01
"248",1998,1,4,2.464,0.01
"249",1999,1,4,1.292,0.01
"250",2000,1,4,1.008,0.01
"251",2001,1,4,4.136,0.01
"252",2002,1,4,2.028,0.01
"253",2003,1,4,0.052,0.01
"254",2004,1,4,0.076,0.01
"255",1910,1,5,2.04,0.01
"256",1911,1,5,1.14,0.01
"257",1912,1,5,2.63,0.01
"258",1913,1,5,6.3,0.01
"259",1914,1,5,3.9,0.01
"260",1915,1,5,0.5,0.01
"261",1916,1,5,0.91,0.01
"262",1917,1,5,0.68,0.01
"263",1918,1,5,0.91,0.01
"264",1919,1,5,0.91,0.01
"265",1920,1,5,0.27,0.01
"266",1921,1,5,1.27,0.01
"267",1922,1,5,0.14,0.01
"268",1923,1,5,0.23,0.01
"269",1924,1,5,0.14,0.01
"270",1925,1,5,0.68,0.01
"271",1926,1,5,0.18,0.01
"272",1927,1,5,0.23,0.01
"273",1930,1,5,10.21,0.01
"274",1931,1,5,0.95,0.01
"275",1932,1,5,0.68,0.01
"276",1942,1,5,0.59,0.01
"277",1944,1,5,1.5,0.01
"278",1945,1,5,0.77,0.01
"279",1946,1,5,1.36,0.01
"280",1947,1,5,0.45,0.01
"281",1948,1,5,1.36,0.01
"282",1949,1,5,0.91,0.01
"283",1951,1,5,0.45,0.01
"284",1952,1,5,0.91,0.01
"285",1953,1,5,0.9,0.01
"286",1954,1,5,1.81,0.01
"287",1955,1,5,0.9,0.01
"288",1956,1,5,0.45,0.01
"289",1957,1,5,3.18,0.01
"290",1958,1,5,3.18,0.01
"291",1959,1,5,1.81,0.01
"292",1960,1,5,2.27,0.01
"293",1961,1,5,3.18,0.01
"294",1962,1,5,0.91,0.01
"295",1963,1,5,0.45,0.01
"296",1964,1,5,0.91,0.01
"297",1965,1,5,2.27,0.01
"298",1968,1,5,4.08,0.01
"299",1970,1,5,0.91,0.01
"300",1972,1,5,0.45,0.01
"301",1973,1,5,0.91,0.01
"302",1974,1,5,1.81,0.01
"303",1975,1,5,1.36,0.01
"304",1976,1,5,1.34,0.01
"305",1977,1,5,0.28,0.01
"306",1978,1,5,0.71,0.01
"307",1979,1,5,4.75,0.01
"308",1980,1,5,6.6,0.01
"309",1981,1,5,8.59,0.01
"310",1982,1,5,2.56,0.01
"311",1983,1,5,2.2,0.01
"312",1984,1,5,2.85,0.01
"313",1985,1,5,18,0.01
"314",1986,1,5,6.5,0.01
"315",1987,1,5,8.94,0.01
"316",1988,1,5,12.53,0.01
"317",1989,1,5,8.31,0.01
"318",1990,1,5,3.97,0.01
"319",1991,1,5,8.68,0.01
"320",1992,1,5,5.86,0.01
"321",1993,1,5,8.95,0.01
"322",1994,1,5,6.1,0.01
"323",1995,1,5,1.93,0.01
"324",1996,1,5,0.55,0.01
"325",1997,1,5,0.2,0.01
"326",1998,1,5,4.19,0.01
